org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
BIFIDOBACTERIUM SP,BIFIDOBACTERIALES,BIFIDOBACTERIACEAE,BIFIDOBACTERIUM,SP,,BIFIDOBACTERIUM SP
ACHROMOBACTER DENITRIFICANS,BURKHOLDERIALES,ALCALIGENACEAE,ACHROMOBACTER,DENITRIFICANS,,ACHROMOBACTER DENITRIFICANS
ACHROMOBACTER SP,BURKHOLDERIALES,ALCALIGENACEAE,ACHROMOBACTER,SP,,ACHROMOBACTER SP
ACHROMOBACTER XYLOSOXIDANS,BURKHOLDERIALES,ALCALIGENACEAE,ACHROMOBACTER,XYLOSOXIDANS,,ACHROMOBACTER XYLOSOXIDANS
ALCALIGENES FAECALIS,BURKHOLDERIALES,ALCALIGENACEAE,ALCALIGENES,FAECALIS,,ALCALIGENES FAECALIS
ALCALIGENES FAECALIS SSP FAECALIS,BURKHOLDERIALES,ALCALIGENACEAE,ALCALIGENES,FAECALIS,,ALCALIGENES FAECALIS
ALCALIGENES FAECALISSSP FAECALIS,BURKHOLDERIALES,ALCALIGENACEAE,ALCALIGENES,FAECALIS,,ALCALIGENES FAECALIS
ALCALIGENES SP,BURKHOLDERIALES,ALCALIGENACEAE,ALCALIGENES,SP,,ALCALIGENES SP
BORDETELLA AVIUM,BURKHOLDERIALES,ALCALIGENACEAE,BORDETELLA,AVIUM,,BORDETELLA AVIUM
BORDETELLA BRONCHISEPTICA,BURKHOLDERIALES,ALCALIGENACEAE,BORDETELLA,BRONCHISEPTICA,,BORDETELLA BRONCHISEPTICA
BORDETELLA HINZII,BURKHOLDERIALES,ALCALIGENACEAE,BORDETELLA,HINZII,,BORDETELLA HINZII
BORDETELLA PARAPERTUSSIS,BURKHOLDERIALES,ALCALIGENACEAE,BORDETELLA,PARAPERTUSSIS,,BORDETELLA PARAPERTUSSIS
BORDETELLA SP,BURKHOLDERIALES,ALCALIGENACEAE,BORDETELLA,SP,,BORDETELLA SP
KERSTERSIA GYIORUM,BURKHOLDERIALES,ALCALIGENACEAE,KERSTERSIA,GYIORUM,,KERSTERSIA GYIORUM
OLIGELLA SP,BURKHOLDERIALES,ALCALIGENACEAE,OLIGELLA,SP,,OLIGELLA SP
OLIGELLA SP,BURKHOLDERIALES,ALCALIGENACEAE,OLIGELLA,SP,,OLIGELLA SP
OLIGELLA UREOLYTICA,BURKHOLDERIALES,ALCALIGENACEAE,OLIGELLA,UREOLYTICA,,OLIGELLA UREOLYTICA
OLIGELLA URETHRALIS,BURKHOLDERIALES,ALCALIGENACEAE,OLIGELLA,URETHRALIS,,OLIGELLA URETHRALIS
BURKHODERIA CENOCEPACIA,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,CENOCEPACIA,,BURKHOLDERIA CENOCEPACIA
BURKHOLDERI CENOCEPACIA,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,CENOCEPACIA,,BURKHOLDERIA CENOCEPACIA
BURKHOLDERIA CENOCEPACIA,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,CENOCEPACIA,,BURKHOLDERIA CENOCEPACIA
BURKHOLDERIA CEPACIA,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,CEPACIA,,BURKHOLDERIA CEPACIA
BURKHOLDERIA GLADIOLI,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,GLADIOLI,,BURKHOLDERIA GLADIOLI
